GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US17300,17300,"Clarksville, TN-KY Metro Area",282075,1837,204312,2550,56337,2436,1634,489,5859,757,1879,1913,3284,1822,8770,1848,648,531,8122,1693
310M300US17420,17420,"Cleveland, TN Metro Area",123861,2140,114818,2141,5767,988,629,546,243,222,46,77,865,531,1493,847,0,204,1493,847
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2055612,,1508646,4369,406835,4447,3765,1034,43359,2122,589,321,28858,3515,63560,6050,7192,2237,56368,5767
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",154311,,143862,1685,1029,634,2970,553,1352,665,167,261,1836,1787,3095,917,213,207,2882,903
310M300US17780,17780,"College Station-Bryan, TX Metro Area",254716,3169,192794,4700,29218,2482,1129,1268,14143,466,107,163,8601,2699,8724,3260,431,292,8293,3293
310M300US17820,17820,"Colorado Springs, CO Metro Area",712327,,574802,5000,43819,3993,3588,1541,18301,1654,3009,507,26030,4729,42778,4917,7344,2008,35434,4570
310M300US17860,17860,"Columbia, MO Metro Area",176594,,142618,1261,16256,1600,811,577,9021,494,23,40,2821,1537,5044,1702,191,259,4853,1698
310M300US17900,17900,"Columbia, SC Metro Area",816450,2069,488642,3723,273361,4597,1933,802,15182,1418,656,675,14057,3102,22619,3557,1532,669,21087,3483
310M300US17980,17980,"Columbus, GA-AL Metro Area",307816,2600,153364,2901,127827,3261,1316,337,5092,1204,113,176,5726,1658,14378,2879,5075,2239,9303,2899
310M300US18020,18020,"Columbus, IN Metro Area",81402,,68773,1643,1234,284,38,64,5864,304,0,192,3791,1703,1702,617,429,405,1273,482
310M300US18140,18140,"Columbus, OH Metro Area",2041520,,1558922,5017,312837,5009,3499,1113,80395,2564,800,407,18845,4556,66222,6379,3836,1217,62386,6285
310M300US18580,18580,"Corpus Christi, TX Metro Area",452790,2960,411470,3629,16001,1135,1862,1181,7461,866,238,262,7425,1792,8333,2190,2887,1058,5446,1584
310M300US18700,18700,"Corvallis, OR Metro Area",89385,,77080,970,984,495,459,400,5884,551,262,144,1185,714,3531,937,0,201,3531,937
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",267059,,212976,2370,24169,1413,806,467,6401,1065,327,368,10740,2832,11640,1940,365,285,11275,1897
310M300US19060,19060,"Cumberland, MD-WV Metro Area",99541,,90130,654,7195,573,160,122,619,251,27,48,146,169,1264,430,120,123,1144,392
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7232599,2088,5006420,20903,1115545,7286,29526,3100,473365,5316,6458,1052,377296,22899,223989,11856,41997,4977,181992,10931
310M300US19140,19140,"Dalton, GA Metro Area",143904,,128287,3368,5201,820,1989,1874,1493,688,0,218,5444,2991,1490,979,172,299,1318,955
310M300US19180,19180,"Danville, IL Metro Area",78111,,63731,1143,10778,1085,13,22,860,185,16,31,1285,1160,1428,1050,31,52,1397,1048
